time,open,high,low,close,TWAP,VWAP,Plot
1695945600,56.87,57.35,54.76,55.65,55.919999999999995,55.919999999999995,0.04413974630415566
1696032000,55.65,57.47,54.01,55.15,55.54333333333333,55.54333333333334,0.05678926107554379
1696118400,55.15,56.32,53.84,54.8,54.98666666666666,54.98666666666666,0.21015256292428036
1696204800,54.8,55.58,52.21,52.56,53.449999999999996,53.449999999999996,0.19542513913385534
1696291200,52.56,53.9,50.73,52.82,52.48333333333333,52.48333333333333,0.16945131756555212
1696377600,52.82,53,51.42,52.87,52.43,52.43,0.3764111211750396
1696464000,52.87,55.16,51.43,51.62,52.73666666666667,52.73666666666667,0.5405021168111382
1696550400,51.62,54.7,50.79,52.56,52.68333333333334,52.68333333333334,0.32692238620876685
1696636800,52.56,52.99,50.75,51.26,51.666666666666664,51.666666666666664,0.20155759963525594
1696723200,51.26,51.5,49,49.05,49.85,49.85,-0.038294329699930296
1696809600,49.05,50.22,48.19,49.76,49.38999999999999,49.38999999999999,0.018063134076046674
1696896000,49.76,51.3,48.99,50.39,50.22666666666667,50.22666666666667,0.18345142708457252
1696982400,50.39,51,48.55,49.06,49.53666666666667,49.53666666666667,0.23786790936666558
1697068800,49.06,49.31,48.24,48.66,48.73666666666667,48.73666666666667,0.22390266763806943
1697155200,48.66,50.51,48.4,48.97,49.29333333333333,49.29333333333333,0.12522677088581935
1697241600,48.97,50.41,48.28,48.89,49.19333333333333,49.19333333333333,0.08141500861146746
1697328000,48.89,49.02,47.75,48.71,48.49333333333334,48.49333333333334,-0.04585264743230363
1697414400,48.71,50.75,47.6,47.65,48.666666666666664,48.666666666666664,-0.22272272907344073
1697500800,47.65,63.43,47.5,48.88,53.27,53.27,0.05994671281149442
1697587200,48.88,49.28,47.5,47.96,48.24666666666667,48.24666666666667,-0.4731940974472294
1697673600,47.96,48.1,46.21,46.6,46.97,46.97,-1.1083764575875723
1697760000,46.6,49.57,46.1,49.52,48.39666666666667,48.39666666666667,-1.6703542010681727
1697846400,49.52,53.58,48.48,50.85,50.97,50.97,-2.134694979780184
1697932800,50.85,51.98,49,51.49,50.82333333333333,50.82333333333332,-1.7982595505040464
1698019200,51.49,53,50.1,51.5,51.53333333333333,51.53333333333333,-1.5683497920762273
1698105600,51.5,69.5,51,66.88,62.46,62.46,-0.5778285226633991
1698192000,66.88,75,64.4,71.03,70.14333333333333,70.14333333333333,0.415952278207639
1698278400,71.03,74.31,66.4,69.75,70.15333333333334,70.15333333333334,0.16766608110056305
1698364800,69.75,71.75,66.02,70.09,69.28666666666666,69.28666666666666,-0.46521708986968285
1698451200,70.09,84.33,68.65,75.83,76.27,76.27,0.23003434636615386
1698537600,75.83,84.63,75.47,79.58,79.89333333333333,79.89333333333333,0.20999060280429255
1698624000,79.58,83.75,76.61,82.39,80.91666666666667,80.91666666666667,-0.134425723236945
1698710400,82.39,86.97,80.01,85.65,84.21000000000001,84.21000000000001,-0.31447242106812645
1698796800,85.65,88.47,82.2,86.13,85.60000000000001,85.60000000000001,0.03994314318725522
1698883200,86.13,93,83.01,91.23,89.08,89.08,0.006855735266805598
1698969600,91.23,92.13,83.03,88.73,87.96333333333332,87.96333333333332,0.1523188094364407
1699056000,88.73,98,87,94.52,93.17333333333333,93.17333333333333,0.6602159349213027
1699142400,94.52,113.45,92.03,110.7,105.39333333333333,105.39333333333333,1.9409285668498342
1699228800,110.7,134.8,104.51,130.87,123.39333333333333,123.39333333333333,3.1547440772510935
1699315200,130.87,135.58,116.32,127.57,126.49000000000001,126.49000000000002,3.6120504556676387
1699401600,127.57,149.2,121.9,138.06,136.38666666666668,136.38666666666668,4.030411145618851
1699488000,138.06,149.44,120,131.65,133.6966666666667,133.6966666666667,3.7355529727246024
1699574400,131.65,141.74,120.88,132.88,131.83333333333334,131.83333333333334,3.306774607257256
1699660800,132.88,160,131.69,151.56,147.75,147.75,3.804503008088882
1699747200,151.56,158.41,142.07,147.75,149.41,149.41,3.821812845774708
1699833600,147.75,152.48,129.28,143.03,141.59666666666666,141.59666666666666,3.426135742192087
1699920000,143.03,150.5,127.05,137.15,138.23333333333335,138.23333333333335,3.1071938763504803
1700006400,137.15,171.82,130.06,165.7,155.85999999999999,155.85999999999999,3.3425070782278357
1700092800,165.7,174.91,157.28,160.51,164.23333333333332,164.23333333333332,3.5807991239649812
1700179200,160.51,196.25,157.57,194.49,182.76999999999998,182.76999999999998,3.6627622013519097
1700265600,194.49,243.29,186,231.5,220.26333333333332,220.26333333333332,4.396370470894726
1700352000,231.5,270,213.26,253.75,245.67,245.67,4.70029765766436
1700438400,253.75,311.55,247,285.61,281.38666666666666,281.38666666666666,4.934490940689545
1700524800,285.61,289.99,222.67,226.99,246.54999999999998,246.54999999999998,4.154649081397398
1700611200,226.99,270,222.29,241.23,244.50666666666666,244.50666666666666,3.604403506728811
1700697600,241.23,249.46,230,237.85,239.10333333333335,239.10333333333332,3.4499820302653275
1700784000,237.85,282.59,233.2,281.76,265.84999999999997,265.84999999999997,3.617838755228665
1700870400,281.76,302.02,255.87,276.2,278.03,278.03,3.7895521470147178
1700956800,276.2,277.02,247.84,268.34,264.40000000000003,264.40000000000003,3.3913741466993823
1701043200,268.34,276.44,227.88,244.81,249.71,249.71,2.9973229883620536
1701129600,244.81,261.87,232.98,245.56,246.80333333333337,246.8033333333334,2.819074397684911
1701216000,245.56,268.26,236.33,249.39,251.32666666666668,251.32666666666668,2.816337074773472
1701302400,249.39,295,244.48,284.65,274.71,274.71,2.9920942894017335
1701388800,284.65,311.54,277.57,295.79,294.9666666666667,294.9666666666667,3.237178601093432
1701475200,295.79,300,270.69,299.9,290.19666666666666,290.19666666666666,3.1166685730801165
1701561600,299.9,354.89,295.18,337.85,329.3066666666667,329.3066666666667,3.3795253178894975
1701648000,337.85,358.88,310,348.77,339.21666666666664,339.21666666666664,3.456556642024163
1701734400,348.77,356,318,340.37,338.12333333333333,338.12333333333333,3.344356256134412
1701820800,340.37,355,327.74,329.76,337.5,337.5,3.1977849139377166
1701907200,329.76,340.03,305.32,318.43,321.26,321.26,2.9473600953112142
1701993600,318.43,361.05,294,349.72,334.92333333333335,334.92333333333335,2.9769162497343187
1702080000,349.72,353.24,330,336.58,339.94,339.94,3.028830429849909
1702166400,336.58,366.55,331.41,359.63,352.53000000000003,352.53000000000003,3.0508729278407016
1702252800,359.63,362.84,300,324.4,329.08,329.08,2.882878189870961
1702339200,324.4,340,311.75,324.82,325.5233333333333,325.5233333333333,2.701745743701938
